epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8176,2.47547,3.8415,2.19993,0.19336,0.1767,0.10895,0.04078,2.90132,3.7659,2.57052,0.0001992,0.0001992,0.0802792
2,101.53,2.44372,2.97001,2.193,0.36553,0.06576,0.04244,0.01313,3.20815,7.35297,2.75591,0.000396565,0.000396565,0.0604766
3,152.188,2.39096,2.90784,2.17742,0.21843,0.23715,0.13983,0.05006,2.73089,3.96858,2.40892,0.000591291,0.000591291,0.0406713
4,202.508,2.36836,2.8239,2.13352,0.25912,0.24436,0.1695,0.06828,2.63221,6.09142,2.24206,0.000783376,0.000783376,0.0208634
5,252.769,2.33195,2.76889,2.12468,0.28773,0.25542,0.17084,0.06886,2.53711,2.86979,2.18074,0.000972821,0.000972821,0.00105282
6,302.625,2.29859,2.68693,2.07651,0.266,0.21822,0.14628,0.05835,2.5934,3.14702,2.20749,0.000967,0.000967,0.000967
7,352.668,2.27369,2.71302,2.09285,0.24299,0.3035,0.19239,0.07502,2.49421,2.89244,2.11323,0.0009604,0.0009604,0.0009604
8,402.733,2.26096,2.62272,2.0275,0.29125,0.27586,0.2044,0.08229,2.4534,2.712,2.04344,0.0009538,0.0009538,0.0009538
9,452.775,2.22227,2.62141,1.99965,0.35544,0.30079,0.22249,0.08725,2.44341,2.85419,2.09943,0.0009472,0.0009472,0.0009472
10,502.935,2.19563,2.51327,1.98868,0.28927,0.29995,0.20992,0.08353,2.42131,2.79454,2.04029,0.0009406,0.0009406,0.0009406
11,552.922,2.2022,2.58753,1.98608,0.28346,0.32947,0.22216,0.09271,2.34199,2.66456,1.94708,0.000934,0.000934,0.000934
12,603.049,2.16636,2.4851,1.9498,0.29896,0.30868,0.23074,0.10181,2.3565,2.73214,2.01857,0.0009274,0.0009274,0.0009274
13,652.914,2.13589,2.52063,1.96279,0.35078,0.35846,0.26232,0.11357,2.29674,2.53238,1.94007,0.0009208,0.0009208,0.0009208
14,703.028,2.13528,2.44173,1.92412,0.37405,0.36057,0.29219,0.12478,2.32081,2.51413,1.96027,0.0009142,0.0009142,0.0009142
15,752.973,2.09742,2.46621,1.92763,0.29763,0.31449,0.22753,0.09188,2.45505,2.6929,2.03579,0.0009076,0.0009076,0.0009076
16,802.881,2.09818,2.42392,1.90165,0.3918,0.3323,0.27396,0.12084,2.32404,2.60915,1.94888,0.000901,0.000901,0.000901
17,853.051,2.11072,2.38926,1.93513,0.33677,0.39354,0.27866,0.11467,2.319,2.42283,1.94182,0.0008944,0.0008944,0.0008944
18,902.974,2.11498,2.39762,1.94104,0.35427,0.32027,0.26581,0.11351,2.2868,2.69075,1.92149,0.0008878,0.0008878,0.0008878
19,952.911,2.08476,2.36821,1.93122,0.38034,0.37747,0.29373,0.12533,2.23124,2.48294,1.92325,0.0008812,0.0008812,0.0008812
20,1002.84,2.06596,2.31019,1.90448,0.32053,0.36474,0.26833,0.11383,2.28804,2.76749,1.9092,0.0008746,0.0008746,0.0008746
21,1052.94,2.0589,2.33156,1.90892,0.34477,0.37249,0.30348,0.12795,2.22522,2.45717,1.93331,0.000868,0.000868,0.000868
22,1103.1,2.08084,2.33817,1.91565,0.37365,0.38371,0.32258,0.14681,2.15396,2.43415,1.87045,0.0008614,0.0008614,0.0008614
23,1153.57,2.03542,2.2732,1.89395,0.37825,0.41067,0.32783,0.12862,2.26102,2.46408,1.91445,0.0008548,0.0008548,0.0008548
24,1203.47,2.04238,2.27965,1.86855,0.3843,0.35708,0.32456,0.14689,2.2108,2.51857,1.8692,0.0008482,0.0008482,0.0008482
25,1253.45,2.00303,2.24925,1.85682,0.4378,0.41763,0.35886,0.16329,2.17409,2.29492,1.84595,0.0008416,0.0008416,0.0008416
26,1303.48,2.0192,2.26092,1.86223,0.32943,0.3835,0.30239,0.13264,2.12909,2.3718,1.85809,0.000835,0.000835,0.000835
27,1353.54,2.00977,2.2448,1.8445,0.3592,0.42568,0.31664,0.14235,2.20894,2.69113,1.86124,0.0008284,0.0008284,0.0008284
28,1403.31,2.01511,2.24405,1.85985,0.38074,0.39375,0.33821,0.14357,2.21771,2.2732,1.86442,0.0008218,0.0008218,0.0008218
29,1453.44,1.99713,2.22716,1.85279,0.41909,0.42169,0.35499,0.17111,2.09678,2.24114,1.78936,0.0008152,0.0008152,0.0008152
30,1503.84,2.00077,2.20767,1.85,0.39607,0.42399,0.3509,0.1598,2.13822,2.28653,1.82053,0.0008086,0.0008086,0.0008086
31,1553.8,1.98685,2.18799,1.86526,0.39315,0.3944,0.33479,0.14988,2.11662,2.31708,1.82284,0.000802,0.000802,0.000802
32,1603.75,2.0083,2.17287,1.86136,0.42852,0.40607,0.35914,0.1615,2.13886,2.23347,1.82011,0.0007954,0.0007954,0.0007954
33,1653.81,1.97586,2.1742,1.83407,0.36427,0.44095,0.37344,0.17024,2.12331,2.19261,1.7969,0.0007888,0.0007888,0.0007888
34,1703.92,1.9918,2.14798,1.8657,0.41813,0.42136,0.36266,0.17396,2.13892,2.21289,1.80009,0.0007822,0.0007822,0.0007822
35,1753.9,1.98715,2.19283,1.83236,0.36326,0.48535,0.38512,0.17284,2.08595,2.15144,1.79073,0.0007756,0.0007756,0.0007756
36,1803.77,1.96646,2.16851,1.82716,0.42402,0.41302,0.37402,0.17377,2.12118,2.21579,1.82889,0.000769,0.000769,0.000769
37,1853.46,1.94201,2.06541,1.82267,0.38992,0.45335,0.37057,0.17935,2.03833,2.33977,1.77704,0.0007624,0.0007624,0.0007624
38,1903.38,1.95105,2.12089,1.81402,0.4078,0.44929,0.35703,0.16973,2.05685,2.13022,1.7701,0.0007558,0.0007558,0.0007558
