epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15345,2.43704,4.57955,1.72894,0.20659,0.1254,0.119,0.048,2.37149,4.65116,1.7384,0.000413333,0.000413333,0.000413333
2,16.6958,2.30463,3.3555,1.69143,0.27734,0.2331,0.13195,0.05311,2.54075,4.16919,1.95149,0.000813566,0.000813566,0.000813566
3,24.0002,2.3039,2.90861,1.71829,0.24562,0.30742,0.18282,0.06844,2.50283,3.18374,1.90657,0.0011973,0.0011973,0.0011973
4,31.2552,2.27222,2.54427,1.70225,0.48253,0.24624,0.19525,0.07362,2.41347,3.08331,1.87989,0.00117575,0.00117575,0.00117575
5,38.467,2.21653,2.43532,1.71643,0.31717,0.28163,0.19256,0.07429,2.43576,2.83316,1.86712,0.001151,0.001151,0.001151
6,45.7489,2.19275,2.33461,1.7046,0.29198,0.33236,0.23729,0.09805,2.26265,2.98213,1.77696,0.00112625,0.00112625,0.00112625
7,53.0454,2.18558,2.30622,1.68812,0.29753,0.35685,0.25268,0.10087,2.27725,2.58126,1.78647,0.0011015,0.0011015,0.0011015
8,60.4126,2.10914,2.20931,1.65084,0.36098,0.31289,0.25973,0.10974,2.28406,2.60061,1.72758,0.00107675,0.00107675,0.00107675
9,67.6989,2.10102,2.19879,1.63241,0.3646,0.35609,0.2622,0.10868,2.25467,2.56571,1.7537,0.001052,0.001052,0.001052
10,74.9871,2.07122,2.10641,1.62138,0.37168,0.33709,0.28471,0.11341,2.17089,2.38676,1.70845,0.00102725,0.00102725,0.00102725
11,82.3012,2.05149,2.10723,1.60738,0.38505,0.38024,0.30685,0.12842,2.21219,2.39509,1.6896,0.0010025,0.0010025,0.0010025
12,89.6274,2.03774,2.06188,1.60052,0.38622,0.41519,0.30198,0.13226,2.0561,2.36234,1.6392,0.00097775,0.00097775,0.00097775
13,96.9121,2.01135,2.04566,1.58696,0.45701,0.40648,0.35286,0.14686,2.12587,2.19739,1.62179,0.000953,0.000953,0.000953
14,104.224,2.00508,2.02821,1.58199,0.4117,0.40111,0.35103,0.14913,2.12969,2.20073,1.58505,0.00092825,0.00092825,0.00092825
15,111.582,1.99753,2.01111,1.58348,0.37154,0.38766,0.32021,0.13591,2.13085,2.35127,1.68006,0.0009035,0.0009035,0.0009035
16,118.979,1.97907,1.96255,1.55463,0.4248,0.3961,0.35255,0.14183,2.08553,2.14021,1.57825,0.00087875,0.00087875,0.00087875
17,126.459,1.97346,1.99328,1.55028,0.45859,0.40208,0.35313,0.15423,2.0404,2.20911,1.64127,0.000854,0.000854,0.000854
18,133.907,1.96504,1.94391,1.54156,0.40016,0.43948,0.35235,0.15403,2.01308,2.08051,1.54768,0.00082925,0.00082925,0.00082925
19,141.31,1.95586,1.96199,1.54582,0.43322,0.42882,0.3664,0.15832,2.00788,2.1341,1.56921,0.0008045,0.0008045,0.0008045
20,148.748,1.95956,1.90261,1.53282,0.47003,0.4446,0.38724,0.17639,1.94271,2.05986,1.52723,0.00077975,0.00077975,0.00077975
21,156.157,1.93571,1.89562,1.51653,0.41391,0.41397,0.37298,0.16725,1.96517,2.08325,1.53883,0.000755,0.000755,0.000755
22,163.571,1.9133,1.86933,1.50867,0.48985,0.41585,0.41573,0.18964,1.96363,2.02131,1.56047,0.00073025,0.00073025,0.00073025
23,170.986,1.90123,1.88619,1.49964,0.39932,0.49393,0.38947,0.17575,1.92553,2.01143,1.53551,0.0007055,0.0007055,0.0007055
24,178.356,1.87442,1.84641,1.50555,0.49727,0.45188,0.43312,0.1969,1.91385,1.94905,1.53256,0.00068075,0.00068075,0.00068075
25,185.818,1.87494,1.85225,1.50349,0.45101,0.47069,0.42767,0.19594,1.91662,1.93143,1.556,0.000656,0.000656,0.000656
26,193.208,1.89527,1.83248,1.50728,0.49517,0.49719,0.45644,0.20527,1.90807,1.90923,1.53235,0.00063125,0.00063125,0.00063125
27,200.662,1.86311,1.81451,1.47507,0.4903,0.42153,0.40701,0.19437,1.91677,1.93932,1.53024,0.0006065,0.0006065,0.0006065
28,208.086,1.86619,1.80301,1.46333,0.47794,0.4968,0.44849,0.20657,1.86383,1.91089,1.51632,0.00058175,0.00058175,0.00058175
29,215.385,1.82704,1.77405,1.46546,0.45826,0.50146,0.43904,0.20631,1.84297,1.89123,1.50464,0.000557,0.000557,0.000557
30,222.648,1.84681,1.7841,1.47498,0.42392,0.49751,0.41132,0.20188,1.83434,1.88493,1.46267,0.00053225,0.00053225,0.00053225
31,229.923,1.85068,1.77949,1.46245,0.46369,0.49876,0.45953,0.21368,1.85042,1.86198,1.50009,0.0005075,0.0005075,0.0005075
32,237.146,1.79934,1.7212,1.43008,0.45698,0.52195,0.46582,0.22628,1.77009,1.81778,1.45542,0.00048275,0.00048275,0.00048275
33,244.378,1.83769,1.73815,1.46375,0.46072,0.48131,0.44022,0.21343,1.837,1.88663,1.48322,0.000458,0.000458,0.000458
34,251.617,1.80961,1.75569,1.44395,0.52087,0.53036,0.48361,0.23787,1.77923,1.75803,1.43587,0.00043325,0.00043325,0.00043325
35,258.84,1.79649,1.73551,1.41722,0.49679,0.52508,0.48503,0.23321,1.80315,1.81655,1.44902,0.0004085,0.0004085,0.0004085
36,266.108,1.78396,1.73511,1.44611,0.50899,0.54641,0.51064,0.24801,1.79802,1.76713,1.45168,0.00038375,0.00038375,0.00038375
37,273.299,1.77746,1.67906,1.42801,0.51332,0.51694,0.49107,0.24463,1.75664,1.775,1.43333,0.000359,0.000359,0.000359
38,280.479,1.75094,1.66965,1.41028,0.47442,0.51177,0.49036,0.24769,1.7369,1.74967,1.41922,0.00033425,0.00033425,0.00033425
39,287.739,1.75473,1.6826,1.42564,0.53682,0.53363,0.52701,0.2651,1.72536,1.68252,1.41443,0.0003095,0.0003095,0.0003095
40,295.065,1.73904,1.63201,1.40412,0.53747,0.51396,0.50531,0.25574,1.72045,1.72659,1.41587,0.00028475,0.00028475,0.00028475
41,308.041,1.78145,1.60124,1.45777,0.53182,0.54423,0.52076,0.26888,1.70854,1.65868,1.41162,0.00026,0.00026,0.00026
42,315.381,1.76304,1.55984,1.44072,0.51772,0.57815,0.53987,0.28355,1.67343,1.62242,1.39391,0.00023525,0.00023525,0.00023525
43,322.614,1.74882,1.53245,1.44255,0.5592,0.57491,0.56019,0.28504,1.68911,1.60261,1.39599,0.0002105,0.0002105,0.0002105
44,329.896,1.73505,1.53645,1.42907,0.55667,0.55787,0.54795,0.28975,1.6626,1.61187,1.38664,0.00018575,0.00018575,0.00018575
45,337.101,1.70764,1.49438,1.42905,0.53234,0.58145,0.5598,0.29391,1.66674,1.57664,1.39257,0.000161,0.000161,0.000161
46,344.432,1.72069,1.49433,1.4126,0.5494,0.58728,0.57142,0.30363,1.65201,1.55801,1.37004,0.00013625,0.00013625,0.00013625
47,351.769,1.6975,1.47363,1.39966,0.60059,0.55661,0.58478,0.31011,1.6352,1.5557,1.36792,0.0001115,0.0001115,0.0001115
48,359.138,1.68019,1.47402,1.40259,0.57139,0.57109,0.58306,0.30764,1.63982,1.53282,1.36254,8.675e-05,8.675e-05,8.675e-05
49,366.453,1.67515,1.46003,1.40327,0.56889,0.60493,0.59651,0.3213,1.60854,1.52746,1.34763,6.2e-05,6.2e-05,6.2e-05
50,373.777,1.68725,1.46208,1.39199,0.56604,0.60833,0.59852,0.32542,1.60953,1.51263,1.34788,3.725e-05,3.725e-05,3.725e-05
